varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
91547.67332139991,218863.752791579,580134.4326219525,483302.7074872815,245229.01204906023,409807.7451207334,351045.1135960433
92317.16389701476,84156.38295446205,228559.0747140994,104760.85057507265,162757.71930882015,340633.1200970378,256970.07710347872
179809.95875615443,351330.4345385885,238629.58342012492,98572.62451583282,262597.8183706788,203686.82917710725,181807.36037340522
108235.98859540264,145866.30596145146,-119892.71839565587,203291.89955424535,366568.71630723786,1021014.1859541623,506464.44548961194
143503.5629067793,10390526.449946906,598514.8991705182,264223.9088473624,446868.67258271854,290169.1088407531,117857.39853278699
163542.41464547144,417191.5543064204,48634.204798210645,162612.433798776,261733.2503669629,312990.5621155795,251287.733252006
90383.4949816736,247056.1305663638,221234.4297592086,102887.83208055748,170690.54894304732,166744.54611222952,422303.9104201967
168490.72657425754,350751.1394821596,563766.2771037299,296353.8637114981,178511.8988661645,184171.72004801902,250387.56774688358
237625.04141296635,619565.1709891283,215067.48375352245,111935.23427339992,328760.0065612993,255082.18287930972,189989.11994420883
110851.97761533738,340813.427348954,139894.22885554447,296653.69837510015,134307.32143851265,139946.94697769266,300040.3196225964
88003.60069213767,420562.7027239778,229626.97050063522,212883.5829050158,246954.73777370303,244127.7239624014,412357.3185587665
369919.5777146936,535830.0148478602,152935.10048108344,269041.76832704403,213004.68732418003,264327.0494382451,319056.1307060933
422140.11910249235,486102.4435158538,161173.68594444197,352057.0981137906,451176.27087075985,259984.09428126234,538828.4276463705
270376.8695094737,623503.4638551315,183145.17021478908,314395.93609016546,237180.43994417327,191430.85511264755,277560.6105153094
186590.69980593136,384737.608118299,227059.23256275448,455256.80886040744,347618.6448841955,196642.85296064295,921903.0745529273
510404.22666310647,271362.9691646325,244087.24785325883,361312.956477775,250268.10281858075,296467.2877419286,270289.9131249795
1796993.9676449634,376145.9407298454,510349.47206802457,420107.4270699858,276121.69005183614,161594.4034807822,424906.746659145
962185.4421719036,501489.7976789073,164551.24078681454,569808.4765410614,254505.6301853073,340240.81721550995,100824.19973919653
509030.68273607286,439608.464038004,373176.11907636607,622191.2139951999,276106.8284447732,499615.95474643976,520814.9298286316
188504.9848136871,266131.80794159125,382011.1743736468,404479.4973529115,289212.7475714837,221852.00749648217,154835.52824101853
550618.921033993,524362.3574977755,375769.97032987047,636632.0337203154,497743.91281672544,238152.75203829393,244565.7654396504
490518.1771518206,394468.3267757979,412529.94384649943,507750.0550090289,598503.3389607986,231393.29231523408,88864.5401118465
404638.6694023422,509474.019482663,545866.0515089562,239106.38112006476,162670.4620358277,378915.0275615565,256289.6074793368
478524.74655987625,790333.808889627,607208.5010228743,488570.63416597364,394257.96278794983,193688.42286828993,266026.5882851585
288787.85292929754,703706.867188247,332296.128190784,266926.0117489851,574995.4421942506,728184.6500631627,242024.9335252097
256015.23190437752,622837.6964920801,336248.10093775485,317178.2163445979,241177.46032132354,190102.054713435,182374.98949790947
388997.08203412994,693468.4448208185,490359.96513480524,336120.16259653337,260860.81598871446,505256.66196768323,123402.0540253876
106917.81296270466,476472.71834704163,509495.75220448367,317741.44735381845,416094.0207616979,252014.33668462618,250474.83057079103
114046.71714178062,211303.23418922868,552323.497729524,428782.3486915361,616888.77261794,208130.3309676252,390413.97328439157
218953.00447811326,538545.4562652373,668892.4469226652,222574.56218512496,291166.87769375317,246291.77288102554,283919.0324988003
192199.37491588932,597663.5782926691,401163.0510422441,440235.7761654057,462241.62962143973,470872.4918149675,201203.88508212607
222261.59361951053,320228.65253534983,354508.43321664265,449825.8009512212,541813.5960775933,372422.86145862564,207882.09611604933
143384.05850397592,499992.3234755817,558440.6873278308,621012.807168605,459532.53232395224,211554.26531772126,457336.0227015434
228547.7953613166,359688.68459086353,465576.85805020086,555567.4950114067,519696.3104919957,444691.17761005566,265518.2102883177
202478.2935252809,201700.01472901128,528333.1948798909,599741.4349492056,599579.4255773157,586395.6687198769,213066.01085203508
203448.0348926445,328889.70735280425,589650.9788874711,457575.99130998563,663312.0177148082,427814.06899975834,437183.58644179086
125635.43515469908,529989.7573586826,611818.2082865863,514698.4814991248,450568.1333367293,416627.34168404806,340439.27162750985
104198.42734267977,325383.52508295665,499945.5595591881,421470.1734816834,536285.8769888185,439598.15425936104,348114.3381030831
385078.0169721211,319960.9932948769,382169.66768981615,794871.3746510847,460866.36804802046,262647.8488061027,255893.08274792257
141070.18333111954,170297.32756859303,695061.1117854542,571928.9245468703,628576.4955763875,348973.02340398496,238513.00827632644
171799.99200886345,263273.8504394891,635741.9990021725,355034.6513589042,591340.6544708268,368177.70755541057,424891.0797447567
166046.46196626173,411834.19583024166,477867.94501368643,769343.1117698313,668012.8494244564,385332.42906716675,503331.94232147204
178331.90416405207,475966.61716371484,584983.0151762865,703087.4852633361,590698.1290360256,392976.8544253497,473422.2390197465
138585.227953408,333416.9598555092,859229.0100245781,462371.50622861827,594221.6777179778,397778.72441361257,321417.3817796997
177992.60756825336,542735.9713235054,631702.9313945607,268542.236655137,663767.7368951872,804673.163762995,577977.8380794576
202694.49318138833,432643.9789200178,744519.2248826246,391555.0359957879,712469.756351316,449289.333958024,413560.6397290126
180931.94857006613,560055.758004922,816059.9169307449,345633.04713352746,914328.0852385154,797237.2285874326,242029.03390672183
229545.6695542902,530616.7487690878,325848.2332028508,385482.28240625997,628166.8515753518,419001.3518522702,349318.220562013
191695.27283598864,638494.0332283928,674426.1421586893,582717.7816828027,783948.8813516437,392165.23399612005,606602.0002033776
303766.48102446995,1102468.227841156,388770.8952449135,218875.23099695114,678172.6193200577,309314.8739427772,225771.29984628316
256843.19417990505,628597.3339138285,560836.4679970796,313170.0541313349,686173.3743800397,536642.4496620288,516488.4499411538
267591.4508267883,678915.7361263583,491277.8123416927,403767.34150566114,807343.868422664,381699.1153059731,431397.07653046877
109115.5326331202,427875.8458829781,766595.9685708391,358997.2284221811,360423.41376782913,482943.4346239372,1007459.5778956398
191186.43286044235,535818.4162539265,569064.8271722455,782924.8965515875,718726.9717830096,358240.9153405888,557195.6894457664
112413.69172672553,792042.8871636544,1094951.9480570122,632428.3711013509,1015855.0309187435,370356.2657740732,372938.5608419161
45875.17487412134,980235.4745137144,950848.6096792379,587177.8475402042,914626.2322652075,285340.23953785084,635589.8031162233
120650.57736323637,594833.5040494369,1763968.011831215,497660.4029038293,778367.5488876111,315971.2958520628,583960.5501842841
266360.18942982546,498059.34085859935,784267.9594212,375802.1998821912,1067244.3295019767,214273.91433628614,600334.2141441104
187917.49353805932,338141.3019618937,873339.4923908056,453833.6176031596,925867.8977877205,516046.24471174856,558370.109512246
174409.0842742002,795714.784585604,1576667.3678988777,427409.1418101884,680609.4950362686,561075.0724556813,380606.138174476
66839.01074085986,593805.7157798836,1655142.6282580788,624491.3522456822,645034.4385857714,335730.0677039133,564776.4269125881
62786.85183217208,575876.1911291077,1103469.3981748335,412622.8716068396,888342.4745253557,368842.94772217644,540052.4744327641
147455.77505296672,549521.6829937594,688974.4695040085,355403.32175114856,777701.29683524,466154.07892343804,749106.9787461534
196439.94255709037,539341.6047365364,976770.2214313404,403909.5777422443,537039.1443896539,543860.2190378117,473977.2776688012
324536.2511488607,1207627.0085381505,1186295.2674343763,442405.1683783956,1025183.469136465,304591.2341345658,1304713.448093854
177534.82566251175,444257.8817087679,1421834.652448343,420832.32868213847,838571.6147813638,347040.4825997015,943809.3882538021
164208.20327419706,703002.3292894427,756908.9094100347,610420.3293850634,445744.4888119119,492253.6914060073,657560.8609599951
116213.65582860379,969107.8823800258,1623071.1305919439,454215.4340443243,995626.6580434665,205518.96251920186,819686.6776788441
303213.4329833924,587829.6184698873,875817.7392809378,358538.4144058532,874770.8592727209,212319.54183091363,635854.9149981467
276348.04282891506,814169.5185873504,1386919.5724160587,471844.5551739879,851371.3853894994,820679.3572210816,805476.9254541456
216773.37557824326,467044.1084075417,1482146.1808391311,449569.97861148266,609849.6519339563,779966.6643342876,728756.3656742182
253326.81259168056,1112820.4489632857,1010094.6884785624,352017.92426065437,588527.5657449098,366377.82996919274,424875.53176400193
272572.44914063695,835884.9345458678,1410202.3956196888,495127.100267306,1409212.0352082932,432594.188830727,1110243.4460583767
243671.13929710764,514636.2140957466,1499611.1702857767,488849.4368272983,9167864.377527043,624615.955167216,773998.7741879828
366097.5463488711,614520.4116756249,1891824.046076244,309538.464124922,1135953.0398013906,523628.400784601,615930.2724088349
253295.60051523877,1016733.6554251275,813651.0875260064,495497.9543717435,960478.9561381097,527499.7898668444,810221.9428578719
368600.7490185702,626407.5244923505,1601309.6779084133,305835.3152353685,727062.3421956988,431123.4235519238,548469.6572239064
328944.0405899952,495403.2230208051,1196239.4567590507,619158.7317438115,786862.5048526347,506465.74624604685,476323.67710421106
316192.8497543306,708842.0708300042,1622104.0054478887,659801.8098629161,704639.8050882255,403378.7444621957,512470.9172909546
351166.3415216325,284236.39467368636,1533055.0561240232,243576.16006061615,982712.1267265487,645822.94759366,697631.217066927
260579.90075798752,492314.68604358303,1364516.4317227998,144577.19660296003,658640.2238623425,538031.095891587,707555.9519397758
126460.35602912439,573089.7216501815,1290290.4781353713,696117.3947384357,864861.8212857668,363180.41909272084,707039.5814971634
703335.3901735849,586474.2158923293,1152802.0837362797,641078.8063413718,850365.9812493224,460097.31017163064,1102233.5002207607
260975.8166506876,577401.5776129295,1446936.0121829738,320627.2403319812,773681.2575980008,461766.82611690956,663975.1307411157
759789.6998237746,522531.4766719102,1427567.3159219518,488681.3297291779,974293.3845580951,445445.7306403797,631143.6309973708
150526.67732172416,732079.2079679515,1149013.4928422673,272573.0901183883,792517.3575460238,408123.5906068111,674196.9064482831
382992.9999829758,589673.5861785857,1269546.7666339993,614015.1577902025,803353.8327690945,543445.9307829224,753829.6274106975
478915.7890410064,822611.455939475,1329821.7125192755,544691.4707178231,1183655.7453850603,583696.7609378264,596578.2887259901
181428.22116725656,860792.1423004214,963826.804313195,597781.4726510032,975467.1869274961,710776.2219886597,623496.4281335908
543974.8660488762,739538.8511275945,1325708.8797940155,542625.0243126499,769939.3081548746,476596.89025585656,643704.7265769392
179928.09180919884,591104.8106452363,1727545.8127493465,649111.1947080379,793302.4266921945,480673.25310874684,760202.7912456988
249853.4826473465,913069.3767524664,1223610.552883976,350461.3274136918,1115335.4973776406,394632.7151663456,795457.7265762815
377553.7680034053,1186399.6767057348,1733462.31086729,854050.578778563,501743.3328039821,313610.3171277763,1114682.4439584322
361630.8787299339,717447.9041822747,1831356.43895208,1188817.7938883123,590613.6563449656,282496.40954273543,656526.1622510005
658835.9120715663,1125343.6314655128,1155189.0846854174,755045.7149285262,982746.9794421899,626701.9438048836,706825.2716806538
380841.8424022906,626677.6743466883,1868509.2039381946,1263323.245966413,605905.664751176,634709.8158652503,832913.4357787922
232876.0378600164,696031.8222008835,1976878.1315997764,382272.3050474804,804717.1044145774,398166.8599880765,522358.4681003224
290742.3522122775,628848.7072444616,1206034.5986697185,690365.8639796989,1042547.3973036985,357875.00052993465,959041.3927020791
1466068.0007725316,683468.2618038965,2115128.1330522657,613772.5748500874,687150.1227693356,458725.7573833012,775911.2651315574
390818.13544139644,714023.1020811864,1650299.5945868306,684257.6723710406,872400.7506850024,613166.6668254208,762061.2710910994
655922.049114217,687924.6851376358,1835733.9382152031,664348.8140502443,680348.9816847334,838023.5144486523,747807.9828612994
672140.1372447544,1153299.4624626976,2617891.6076956224,592265.8150034451,397892.3572315488,462737.4442893391,421494.48101439956
612677.6942464011,992389.0920467109,3080345.4681615094,624816.719717412,912072.5694091145,670945.3293627357,663475.4543732153
764591.6868548972,1230736.6597562376,2441745.3567216573,684328.784787772,695402.0770787299,711654.5867585163,849930.0677525296
620157.2769389555,1352983.0072434864,2587253.654086975,929797.1738942921,1041729.7331101021,546430.844828519,925702.8922155171
566532.0666801017,1297467.9241119726,2891913.707654237,1631111.1390137002,488572.08307629987,604962.4212861174,1469944.679893266
552216.7706649265,844778.8291319867,2903420.495586445,942222.3987542959,672527.9547865859,499873.5250158917,610432.9733554493
640743.9728060113,817468.8541337086,3184028.8019019514,621532.4490593062,677719.4105620418,981722.0382274411,865886.6075688233
467700.8890729963,930075.7919929009,2445926.2507966086,832714.1568227609,559357.1738897781,660950.4632147939,964958.3896069628
395215.4572702,909115.0630018766,3547821.693640657,882524.8171453504,440676.8769941244,562139.4850263805,1118902.2529996654
338272.17403862544,1085845.6594028585,1786623.9783913142,1110446.6816927441,1100001.5280131474,789075.145145005,1193740.8764256714
427907.21733351605,697877.4716063939,1917011.3942078105,1049793.3881318853,888632.6770570693,507494.0074541339,763742.1620984576
215403.893001232,761802.5427546224,2948873.906530454,1209939.9523077535,981568.5537599635,574282.440783797,802173.3981286343
448259.96512193664,658181.3181530641,2543541.4642067538,1044086.5774384285,619505.5030636119,603873.231081342,1186324.1529961398
686246.9126784808,939179.1157173768,2792343.975992987,1003459.1740631671,985907.658721445,749651.3395006428,500559.97598153906
403567.49418656155,1636626.5059657057,3060345.163362458,1080214.0887553222,796490.8298262865,454011.1725415059,513009.45025733893
439413.050102027,801407.4836449892,1971822.0237719703,723215.1428551616,1111978.2790788098,588748.9248713597,622480.4421363506
538257.2962908108,901083.5733723004,1883846.0444151245,797880.5572549754,1075260.2546360828,675774.0204003983,718858.8051866267
497561.11709316197,433516.5290696642,3046972.654011746,1117086.0774368232,959494.1760339587,609633.1790512708,860925.0988199692
375964.39393229794,862161.5637944923,1652850.5802714406,631927.6155761651,823297.7075869674,535894.276243913,1608120.2105539003
482822.0191974907,631072.9482085028,1996812.844484882,850874.3751340084,896960.1132642102,710162.386661751,1094330.4460483084
414101.270206334,791459.9481464776,2190993.9650692833,634311.0491276497,891630.5511283032,704041.7698559908,512376.38756218366
506575.5794403682,874806.3245271007,3168149.6944419257,847947.686545951,815070.0159199208,1490160.341921186,1116498.0715856752
355883.8578399989,775277.9802205476,2819108.4729397483,1011547.6304508799,952267.7683438307,955305.6439667474,661165.8724374732
551642.8354467591,934780.4475786479,2379871.061875173,634396.6154147607,1510477.471183063,518771.63431473816,1065679.1669227383
546194.164377889,1043315.1974020215,2206149.001549433,631152.5504715383,1795743.1198152609,924406.2044422947,1444708.0452087338
544740.7891953781,977737.4385775938,2739154.1590724736,908266.7751954682,1324139.653874686,586367.1986719733,1299287.812553599
467895.67517656717,514409.8143747377,1669328.0519380188,1080521.9801568934,773784.0709407567,973645.0742471868,1580576.08786547
523101.3553296602,620159.2713361159,2961394.4444455192,1406597.1397819659,2012063.5359417056,925110.5653909603,985981.7750595824
786320.6320906335,1351217.7584188185,3186195.5073763924,953051.6851261461,1363467.6095906994,946699.7867458023,922927.2201488008
515656.81707857485,467215.692233042,2314529.541586888,982314.9078125209,915648.2606750065,570692.921351855,1003205.7911417288
798067.184785076,819323.8650141261,2601432.848683048,671923.2172031323,1619763.2068161154,977807.9754756883,832737.7717743437
686409.5587336654,858719.1999429578,2812530.13331018,751817.9250637689,1117080.731727505,1091211.5405415464,847963.2031706322
693638.499956849,753184.5778402141,3237571.978499176,544660.3577935203,1432939.5775190922,339518.6177648159,1088520.544186308
718923.6268060016,501829.6751281073,3279514.442002246,1205731.8610731242,1423358.549502852,726410.7229541711,1089758.266726042
786038.7441115964,960208.4863463442,2768981.428316839,1000196.7788583612,1470341.9027118827,505264.8799986271,937134.0943076839
644313.0129817335,910587.6091631697,3094151.7872886113,975464.7722749724,1543064.889621085,478136.7167835382,1116786.539527311
751595.3584612283,1008147.2166787052,3258933.801640407,938461.5033324483,783603.6602200028,714008.0491088745,1311294.859706104
789287.926885731,813397.5689678346,2970837.0522316233,634077.5267555652,1323465.5018319325,899200.7192433372,1280089.961488093
958961.0838306549,421825.3671764268,4693189.453737492,701350.2729337364,2201856.2344447225,762237.4078323725,1221675.8839226998
1265692.113203858,821458.9872398744,2627892.8539807503,970575.8452104129,2728016.768114629,763885.5585941821,1422937.6211859041
682667.6393262715,1392976.13542749,3652656.2230467703,1001830.1733036423,1404706.8442938374,997576.4251736432,1615927.7734343403
1103578.5448345072,1380516.2312885488,2807289.461040098,1002243.3644966446,1932033.5755851404,473348.44005484,1396432.9345709998
463479.65399403486,1006557.13994316,4406253.9373901095,860296.7139816051,1093533.5493164377,825721.3310244163,1414181.5444001467
1050692.593097781,798493.431937982,4812851.656130409,875269.3468463522,2293001.164326726,620753.1626506107,1284013.3494027238
957820.3172360105,755482.2112828962,3483385.940763933,1021928.4670888463,1355355.021119284,661351.9801325185,1062005.141635576
1030354.7304630667,484701.6149141261,3887358.5617115167,491386.7648799423,1321495.506374718,776667.5126252073,1430245.1099932967
1145022.9253308843,837281.3606322319,3644370.5927873575,1285329.8772865036,1543957.770085925,1349879.7429880658,854747.1518596179
782942.713585087,776061.5295036256,3935209.3900661306,978993.3030432416,1435610.657354481,1060780.1998514072,774403.4851815683
624633.6977718216,762116.4187179746,5400279.992173492,736958.9882208516,1512269.1253569857,1113505.85778422,1455481.025167021
944226.3330265458,1150335.0777860733,3943968.0092777824,825117.3703126854,2090321.7367923688,685051.6646656009,1444574.8860253962
910486.9392426754,824731.4794297647,3497655.4614620702,621969.3460356414,1738746.1610047733,749627.935212991,1376189.9200411309
623341.3809824798,731731.5434064751,4466681.608003709,1275203.3196026545,1343422.665230057,779367.3351741838,915731.0222221797
291666.3618176217,1005892.7444317425,4743430.368950661,1009987.0398496866,2095215.2010300562,915209.4465190152,1627973.4702989594
497132.82673414965,1026583.1003540666,2848485.555125776,1369798.9061627074,916179.4865058357,779213.9444923124,1474684.7424549765
318796.3174649767,868989.0317176267,3004053.395373663,1319023.4277630742,850598.4318747015,708544.1282039555,1263448.8985366106
270088.0104362124,1147134.6329951922,4127201.8460817356,2015641.9961741336,1310082.5696366369,595439.2127368677,1760655.6581058172
781708.1432604676,6128469.628998396,3205535.266568104,737144.6037751933,1236285.6836892262,1014352.4141638854,1106051.881377449
750567.1034316814,2176496.261314261,3526298.9314135187,1945718.6051240037,1381913.0219359077,947993.9469479402,1761511.681834581
515207.9326729459,1304288.2355136347,3362483.5760502513,1350737.2218145363,3100571.1140336236,712023.3352361426,1457241.0848618448
742615.8462780777,1357435.5848512861,3395403.2294520866,1199746.332068848,1400763.7892222828,601970.4819122925,1635676.8028966067
714323.0307140315,898367.7250346811,3347156.937007186,971588.4242163913,1941106.3895449128,1042015.5359934526,1344583.2572260522
417937.1754328359,1192124.8698599366,3037620.452606951,916586.0224029843,1165418.632056769,784574.9043375072,1697560.5908881454
1212247.77166719,1486966.031839458,4563165.430399701,540246.9967635307,1776627.5059850202,875457.2637169079,1440509.762831851
600110.5416156653,1300779.3872464686,1957949.245065447,1376672.6246501256,1716062.1675361884,871356.5945442629,1349566.473060818
582126.4730488841,1559424.8752983338,4398763.45555919,955525.3279372357,1098706.3401407213,928191.770940708,1923155.4456072366
873561.5746577595,1675129.9306333927,2752718.3845159253,1236866.3224308568,2742316.143174642,1036182.9192358378,1457741.5172800797
781595.7963593053,1302921.5090300108,3668446.3087237473,521436.7150134077,1563623.0473898351,683531.0453595666,1381665.4460649416
593079.4818437614,1448953.857155596,3238988.394888544,1030474.1431988532,1932967.016097664,1117030.1797843315,1289017.342243473
554497.8326278725,2278538.751396938,3010271.1183859752,832577.3294260402,2193902.550354263,1053578.693688013,1291621.9589883755
459179.7047273353,1337541.888271377,3795835.7807725635,1419637.6766309657,1303140.7406978183,709682.6310509448,1277314.6025738185
547289.1654734351,1151172.5637434893,2196363.075411034,945018.5442419299,1139302.167575302,817206.9525733027,2110589.51537739
453467.547895675,679589.9268381046,2913379.598185336,824210.0037728858,1447301.3804120542,1332677.05805105,1433773.4994600017
703865.8258766223,1540801.474247966,3678473.4076588843,761394.4581505426,1693070.6454128744,691752.6114966081,902095.2596086136
-144121.52117636282,638819.9002906734,2930416.255173713,1403977.154995193,1677284.8751185434,963418.4041296793,1025120.6871562462
679572.4218064214,1472220.5378287993,3182395.27481959,687551.2499539624,1163762.7461644143,595388.8762151179,1556996.3631568798
559564.1278985678,1635104.6727281436,3600588.5388333984,929284.0468999536,2011230.151819805,836500.4529537593,1515195.696897667
695486.8136079711,1162834.229433892,3676866.619835511,834097.029011897,1315149.7072323584,590901.0008370681,1224298.1741302288
685081.5241518063,1790511.1762939508,3356519.7906829347,1068101.1986548451,1675713.7524940297,769830.8197978502,1045791.5379803483
542004.6834018008,1432229.3198226667,4700013.448147927,886480.4750757013,2579952.224285419,774694.5509693596,1806203.0234792589
613783.470609823,1679546.1641173402,4030261.252051174,1051598.5484115272,1522235.7066437386,746051.7813804045,1263476.70071543
557392.9836735368,1787297.5832514404,3567168.148694281,1355631.618112532,2178639.721947804,660760.8917840673,1430629.0756168212
366844.57054145285,1075680.9703108657,3008920.6113053747,1193499.617628907,1630492.4230001192,791872.850107545,1578600.6345234117
215356.77792822436,1717891.7241841834,3551470.7463536896,1361839.8697862055,2819008.5641823383,386503.5316557464,1535956.112242247
800146.5666695078,1492062.500656399,4212353.568347342,983930.8253342216,2068899.5989360318,844234.9651076766,1568597.577578391
464429.79480748146,1553852.5535343508,4771720.543001729,860998.3794987698,2130958.2717731,552221.7301514118,1335329.0871681473
477439.63697459915,1229912.30807446,2891734.9429873535,1358173.3183920002,1538983.7859224752,910249.4119404948,1835801.4273626045
1094522.828247342,1619006.7506075916,3348524.45756351,1177785.28988943,2321927.964854369,1179684.2177452645,1897593.4284831043
756772.97968749,1814887.243539023,2729454.7062364984,1022153.5845744368,1646958.3692202205,644835.2518816683,1153813.2919759308
570742.0089958364,1935559.517930932,5591606.133247065,1118643.4606056279,1670946.0261429686,781409.036870108,1084704.0358476609
565785.7452598219,1664520.5363773094,3958950.1982491394,1614493.216963117,1868444.5194652227,587053.152004794,1625188.7609706237
705442.0050370008,929425.2387231662,3178362.0444687614,1185042.8827833873,1364146.2559847932,557347.2411223652,1903340.9692251459
1104733.13205062,1750847.8438207088,4457120.675126609,1281483.2764664362,2145703.5847017867,863344.9971693286,1386820.9093618798
1510237.2731287486,1660696.9659606188,4641534.915842049,920766.9671574475,1510479.96260129,933063.0107291291,1566866.8287918905
1692400.2571802265,1251097.9397232165,5233867.139384506,801280.5699049274,1718250.3467810643,738503.7534064956,1198635.018556335
2302221.906890231,1255596.99359222,2928868.7388592707,795256.1222628185,1411918.2097884915,458784.2311522743,1875708.1169164823
910096.9737350859,796012.908933798,2555012.1344447252,836556.0684551279,2329705.1665901234,573099.2846522251,2466116.1297260737
1646373.1789492385,1470054.7683448736,4281421.993332688,1013742.3810955539,1518383.400291307,669462.2798277548,1961060.1927133736
2065067.3655329489,1316459.0979504993,3909804.5745784706,1259663.6322906706,1838847.2058118116,310801.33426587685,2006293.9327723868
2602793.346759619,1364708.3321078713,4917565.490561586,1034871.3714260398,1418959.9605705673,625725.9479335763,2259359.8051382373
1266672.3042562106,1738816.4178930153,4154507.514435623,754081.9786955086,1369177.598380885,613642.8871980016,2718998.4140133187
1904168.0819211057,2276463.995232674,4180320.4685165873,1045257.8678161816,1876254.2143281167,406877.36778872064,1413649.9902142766
1818001.2852176644,1811244.859820713,4105486.66531905,983476.7603907518,2224983.8385304715,527096.3399953174,1607883.6632681831
1020557.2043720554,2186990.259592821,3768882.3824645914,913867.5234715617,2133171.6436676886,467196.43577936664,1562300.853239633
1547974.6289227046,1621959.0687396717,3210549.2610764448,994100.3574139726,1491948.3645403655,679082.196207686,1366258.4701387282
1669882.3254463635,2280249.0765189407,2876853.5775296884,1400837.0969042336,2079943.4399218583,505813.858527413,1388444.5129092636
1608393.2350983853,1913529.0605349438,3123604.3001479506,991471.946401964,2234818.729949167,659744.7284295377,1638071.5676120184
2103036.727170378,2198739.5969999772,4669032.458947599,853259.4920347305,2060436.378076944,716014.9186020949,1153298.5777740171
2040747.5641446395,2103234.4528537258,4820474.833187978,1518788.399579311,2926111.5040304232,830886.858484984,1250283.4703892968
1729728.1384079454,1216951.727245573,3369965.2059607776,1240807.0463640015,2723783.9226554553,496270.85546709487,1224566.150613817
1368039.4413109827,927364.3482439584,3424966.776422157,688340.2747780158,3609028.7690212447,721116.1883090896,1325309.262557663
1236342.225261223,2480748.180208148,3621434.487474126,703499.1170071969,2684990.234433175,1081502.9099579132,1489811.4005877054
1857318.689529858,14938325.173169944,3399124.2863957305,978588.4660112786,2838129.049413761,594298.9766266868,1781008.125845572
1390809.846835117,2035935.1973864206,6371311.914487116,799494.3980194206,2610248.8801278872,823459.4221677047,2960249.453716308
1273900.58311402,2305378.9179873066,3356124.7489106283,927860.1756140332,1101483.7943305934,1469072.231647853,2491982.580033892
2046608.8494087658,1537668.288001418,4161255.128548049,987863.2831643305,2347665.1629249193,675059.6833958268,2183116.8337599495
