,diffLr0
0,-6.621234745868936e-06
1,-5.079058035450489e-06
2,-5.096376754234581e-06
3,1.3367021467262344e-06
4,-3.0563894249644476e-06
5,-8.973829245839039e-06
6,-3.182488217283039e-06
7,-3.8078309080043606e-06
8,-9.743550564065024e-06
9,5.99326946099753e-07
10,-4.742862050980254e-06
11,-7.233249575882035e-06
12,-5.2562247828592286e-08
13,-2.3927142350921178e-05
14,-8.202199198370935e-06
15,-4.8930235247402075e-06
16,-8.057876437012545e-07
17,5.706395702915756e-06
18,-2.7927678049080044e-06
19,-5.163884193661462e-06
20,-2.0586802208502374e-06
21,-1.125357080904781e-05
22,-5.503883540064829e-06
23,-8.223476724961579e-06
24,3.0873990763771972e-06
25,-5.759920469981624e-06
26,2.2185796096732534e-06
27,1.2192652208804306e-06
28,-1.529863809349816e-06
29,-1.8702132298922907e-06
30,5.27195622099941e-06
31,8.56220459892907e-06
32,2.686268510926268e-06
33,5.12223617531552e-06
34,8.106496282174735e-07
35,2.3430396470072665e-06
36,-1.33518716026966e-06
37,-1.0135759392028847e-06
38,-1.0250423871126808e-06
39,-6.940735853173621e-06
40,-5.0370757852759355e-06
41,-5.591716175398353e-06
42,-3.2312494266275286e-06
43,2.097527758845814e-06
44,6.9602481109360545e-06
45,1.344497360967532e-06
46,1.3643096486499623e-06
47,4.0319596696993695e-06
48,1.8318387438586267e-06
49,4.841204701001262e-06
50,-3.7952035425751354e-07
51,-9.799433446645586e-07
52,-7.699584855515516e-06
53,7.844445543005328e-06
54,1.694877375896322e-06
55,-6.383274302219318e-06
56,-5.682060612511721e-07
57,-6.377828814587908e-06
58,-9.265590995501512e-06
59,-6.9552619874783885e-06
60,-1.5026032435025394e-06
61,-3.4687833268742867e-06
62,-4.253446242083805e-06
63,-4.871634648365541e-06
64,4.112283790445824e-06
65,3.194575837356689e-06
66,1.2287654204249754e-06
67,3.194215814046214e-06
68,3.4429053519351084e-06
69,5.061382032538547e-06
70,7.919389935358249e-07
71,-4.15146347439235e-07
72,-2.1877961093176532e-06
73,-1.4248081209862683e-06
74,1.8547744824463347e-06
75,-6.526660942139501e-07
76,5.376350122219485e-06
77,1.2500917559680544e-07
78,2.0682628266102083e-07
79,-1.0608197664206484e-06
80,-6.269374682509401e-07
81,-8.181107749991297e-08
82,-4.521553940290603e-07
83,-1.824006460161979e-06
84,5.894156616605645e-06
85,7.939016562583976e-06
86,7.186422408126816e-06
87,1.306614020920989e-06
88,5.4232988903244494e-06
89,-9.700972500493416e-07
90,-7.206733656854711e-07
91,-1.3021632843605356e-06
92,-6.476765711349922e-06
93,4.5070674770177844e-07
94,7.673608633064079e-07
95,-8.083405338880784e-07
96,3.902099755202658e-07
97,3.354094085406921e-06
98,-8.283054696986214e-07
99,2.2464545850038357e-06
100,-1.476242934475695e-06
101,-6.157142702586187e-06
102,4.040117598948278e-06
103,-1.31668542153848e-06
104,1.697433878191312e-06
105,-1.4744841808798223e-06
106,-1.664050301008843e-06
107,-4.90361939997011e-06
108,-4.742145359765881e-06
109,-4.069236307626977e-06
110,-4.067884759847617e-06
111,-9.210454031459597e-08
112,-4.781576365322267e-06
113,-8.57827537479069e-08
114,-3.0233640319054378e-06
115,-3.978399663311594e-06
116,3.1117895305683468e-06
117,2.6911540786052976e-08
118,9.034191139637006e-07
119,5.469171157254873e-07
120,1.1123054777300693e-06
121,4.822950596922631e-06
122,1.6731309230535703e-06
123,1.0236584539648108e-05
124,6.509767703129014e-06
125,3.0890353140598814e-06
126,-7.134821042218349e-07
127,-1.097090858876373e-06
128,-9.443206317990633e-07
129,-2.654560294822587e-06
130,1.941780509028113e-06
131,-2.0637257518831786e-06
132,-2.32533374140204e-06
133,-1.5852683495495382e-06
134,-1.1726547434416147e-06
135,3.8217694237639934e-07
136,-1.4816163638682694e-06
137,3.764168481698087e-06
138,-3.317757960391734e-06
139,-6.086604528599508e-06
140,-3.410651442425092e-06
141,-2.2378912865313947e-06
142,6.59131396541034e-07
143,-3.0061090933217935e-06
144,-1.0405024931626956e-06
145,-6.428732584850474e-06
146,-4.737642281880115e-07
147,-4.3984868453309704e-06
148,-6.468855933628602e-06
149,-6.498337687362764e-07
150,9.89710016564948e-07
151,-7.380894193049298e-07
152,-1.0011375989134436e-06
153,-1.4732136184180537e-06
154,-1.6541417938036838e-06
155,-2.2418719060760128e-06
156,-2.365949667765327e-06
157,-3.7170780568305814e-06
158,-2.6791000960276046e-06
159,-1.4357497649558879e-06
160,-1.7363414985272274e-06
161,2.029950935023698e-06
162,-1.9780815426186804e-06
163,1.343420554726786e-07
164,-4.935316865551822e-06
165,-1.4666617983110436e-06
166,-3.118659596239162e-08
167,-6.975301144813928e-07
168,-3.656075705439893e-06
169,-3.76226945029079e-06
170,-2.034716233840511e-06
171,1.7888757082095978e-06
172,-3.187938935246239e-06
173,-4.495193527147885e-06
174,-3.3627113461297945e-06
175,-1.0146684449010754e-06
176,-2.027546070324312e-06
177,-4.627192407395623e-06
178,-2.6872473121091834e-06
179,-5.6121687448657925e-06
180,-4.609903673090652e-07
181,2.495224217277042e-06
182,-1.1813630514136792e-06
183,5.1685870727239257e-08
184,2.1637428164800852e-07
185,-4.243080737335285e-06
186,-3.784208806035749e-06
187,-7.5997453993342785e-06
188,2.4610741444274893e-06
189,-3.8054156573006124e-06
190,-4.344007488452002e-06
191,-1.077711872582434e-06
192,-2.0224376245224427e-06
193,-2.157852948465793e-06
194,-2.4096430758210725e-06
195,-4.682872167743175e-06
196,-1.13347466247361e-06
197,-7.34824725183203e-06
198,-2.953708436562184e-07
199,2.7615218754348544e-07
200,-2.9762690612785545e-06
201,-3.7636938066108326e-06
202,-7.744704769628918e-07
203,-2.6141123325922627e-06
204,-3.596595732090612e-06
205,-4.083233351350296e-06
206,-4.316669254850208e-06
207,-3.293574578960132e-06
208,-1.2182008656717637e-06
209,1.6661575878044753e-06
210,-1.3640729577759206e-06
211,-5.564099365447386e-06
212,-2.814025437322436e-06
213,-6.0907167182404005e-06
214,1.356711053690549e-06
215,6.932501522645947e-07
216,6.02933917828055e-07
217,1.3377389036415412e-07
218,2.4648284271920863e-06
219,3.740175890769058e-07
220,-5.732831731554364e-07
221,-2.4267597580423086e-06
222,-2.4213899105837356e-06
223,2.9593652486071635e-06
224,-7.790592920581361e-07
225,-4.3351597697482025e-06
226,-2.0258863037189763e-06
227,-1.4320829574489267e-06
228,-4.462179769301518e-06
